code,description
"void error_check(
                 int n,
                 int m,
                 double alpha,
                 double dx,
                 double dy,
                 double *u,
                 double *f)
{
  int i,j;
  double xx, yy, temp, error;

  dx = 2.0 / (n-1);
  dy = 2.0 / (m-1);
  error = 0.0;

  for (j=0; j<m; j++){
    for (i=0; i<n; i++){
      xx = -1.0 + dx * (i-1);
      yy = -1.0 + dy * (j-1);
      temp = U(j,i) - (1.0 - xx*xx) * (1.0 - yy*yy);
      error += temp*temp;
    }
  }

  error = sqrt(error)/(n*m);

  printf(""Solution Error : %g\n"", error);

}","Function Name: error_check
Parameters: int n, int m, double alpha, double dx, double dy, double *u, double *f
Description: This function returns a void and displays output to the console; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[]){
    double *u, *f, dx, dy;
    double r1;

    /* Read info */ 
    printf(""Input n,m - grid dimension in x,y direction :\n "");
    scanf(""%d,%d"", &n, &m);
    printf(""Input alpha - Helmholts constant : \n"");
    scanf(""%lf"", &alpha);
    printf(""Input relax - Successive over-relaxation parameter:\n "");
    scanf(""%lf"", &relax);
    printf(""Input tol - error tolerance for iterrative solver:\n"");
    scanf(""%lf"", &tol);
    printf(""Input mits - Maximum iterations for solver:\n "");
    scanf(""%d"", &mits);
    printf(""-> %d, %d, %f, %f, %f, %d\n"",
           n, m, alpha, relax, tol, mits);
    
    u = (double *) malloc(n*m*sizeof(double));
    f = (double *) malloc(n*m*sizeof(double));

    if (!u || !f){
      fprintf(stderr, ""Error: Can't allocate memory\n"");
      exit(1);
    }

    /* arrays are allocated and initialzed */
    initialize(n, m, alpha, &dx, &dy, u, f);
    

    /* Solve Helmholtz eqiation */
    r1 = omp_get_wtime();

    jacobi(n, m, dx, dy, alpha, relax, u,f, tol, mits);

    r1 = omp_get_wtime() - r1;

    printf("" elapsed time : %12.6f\n"", r1);
    printf("" MFlops       : %12.6g\n"",
           mits*(m-2)*(n-2)*0.000001*13 / r1);

    error_check(n, m, alpha, dx, dy, u, f);
    
    
  return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; reads input from standard input; serves as the main entry point for program execution."
"#include <stdio.h>
#include <math.h>
#include <stdlib.h>
void jacobi (
             int n, 
             int m, 
             double dx, 
             double dy, 
             double alpha, 
             double omega, 
             double *u, 
             double *f, 
             double tol, 
             int maxit )

{
  int i,j,k;
  double error, resid, ax, ay, b;
  double *uold;
  
  uold = (double *) malloc(sizeof(double)*n*m);
  if (!uold){
    fprintf(stderr, ""Error: cant allocate memory\n"");
    exit(1);
  }

  ax = 1.0/(dx * dx); /* X-direction coef */
  ay = 1.0/(dy*dy); /* Y_direction coef */
  b = -2.0/(dx*dx)-2.0/(dy*dy) - alpha; /* Central coeff */

  error = 10.0 * tol;


  k = 1;

  while (k <= maxit && error > tol) {

    error = 0.0;
    #pragma omp parallel
    {

    /* copy new solution into old */
    #pragma omp for private(i) // or collapse(2)
    for (j=0; j<m; j++)
      for (i=0; i<n; i++){
        UOLD(j,i) = U(j,i);
      }

    /* compute stencil, residual and update */
    #pragma omp for private(i, resid) reduction(+:error) // or collapse(2) instead of private(i)
    for (j=1; j<m-1; j++){
      for (i=1; i<n-1; i++){
        resid =(
                ax * (UOLD(j,i-1) + UOLD(j,i+1))
                + ay * (UOLD(j-1,i) + UOLD(j+1,i))
                + b * UOLD(j,i) - F(j,i)
                ) / b;
        
        /* update solution */
        U(j,i) = UOLD(j,i) - omega * resid;

        /* accumulate residual error */
        error =error + resid*resid;

      }
    }

    }
    /* error check */
    k++;
    error = sqrt(error) /(n*m);

  } /* while */

  printf(""Total Number of Iterations %d\n"", k);
  printf(""Residual                   %.15g\n"", error);
}","Function Name: jacobi
Parameters: int n, int m, double dx, double dy, double alpha, double omega, double *u, double *f, double tol, int maxit
Description: This function returns a void and performs parallel execution using OpenMP directives; displays output to the console; performs mathematical computations using standard math functions."
"void initialize(  
                int n,    
                int m,
                double alpha,
                double *dx,
                double *dy,
                double *u,
                double *f)
{
  int i,j,xx,yy;

  *dx = 2.0 / (n-1);
  *dy = 2.0 / (m-1);

  /* Initilize initial condition and RHS */
  #pragma omp parallel for private(i, xx, yy) // or collapse(2) instead of private(i)
  for (j=0; j<m; j++){
    for (i=0; i<n; i++){
      xx = -1.0 + *dx * (i-1);
      yy = -1.0 + *dy * (j-1);
      U(j,i) = 0.0;
      F(j,i) = -alpha * (1.0 - xx*xx) * (1.0 - yy*yy)
                - 2.0 * (1.0 - xx*xx) - 2.0 * (1.0 - yy*yy);
    }
  }
}","Function Name: initialize
Parameters: int n, int m, double alpha, double *dx, double *dy, double *u, double *f
Description: This function returns a void and performs parallel execution using OpenMP directives."
"void error_check(
                 int n,
                 int m,
                 double alpha,
                 double dx,
                 double dy,
                 double *u,
                 double *f)
{
  int i,j;
  double xx, yy, temp, error;

  dx = 2.0 / (n-1);
  dy = 2.0 / (m-1);
  error = 0.0;

  #pragma omp parallel for private(i, xx, yy, temp) reduction(+:error) // or collapse(2) instead of private(i)
  for (j=0; j<m; j++){
    for (i=0; i<n; i++){
      xx = -1.0 + dx * (i-1);
      yy = -1.0 + dy * (j-1);
      temp = U(j,i) - (1.0 - xx*xx) * (1.0 - yy*yy);
      error += temp*temp;
    }
  }

  error = sqrt(error)/(n*m);

  printf(""Solution Error : %g\n"", error);

}","Function Name: error_check
Parameters: int n, int m, double alpha, double dx, double dy, double *u, double *f
Description: This function returns a void and performs parallel execution using OpenMP directives; displays output to the console; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[]){
    double *u, *f, dx, dy;
    double r1;

    /* Read info */ 
    printf(""Input n,m - grid dimension in x,y direction :\n "");
    scanf(""%d,%d"", &n, &m);
    printf(""Input alpha - Helmholts constant : \n"");
    scanf(""%lf"", &alpha);
    printf(""Input relax - Successive over-relaxation parameter:\n "");
    scanf(""%lf"", &relax);
    printf(""Input tol - error tolerance for iterrative solver:\n"");
    scanf(""%lf"", &tol);
    printf(""Input mits - Maximum iterations for solver:\n "");
    scanf(""%d"", &mits);
    printf(""-> %d, %d, %f, %f, %f, %d\n"",
           n, m, alpha, relax, tol, mits);
    
    u = (double *) malloc(n*m*sizeof(double));
    f = (double *) malloc(n*m*sizeof(double));

    if (!u || !f){
      fprintf(stderr, ""Error: Can't allocate memory\n"");
      exit(1);
    }

    /* arrays are allocated and initialzed */
    initialize(n, m, alpha, &dx, &dy, u, f);
    

    /* Solve Helmholtz eqiation */
    r1 = omp_get_wtime();

    jacobi(n, m, dx, dy, alpha, relax, u,f, tol, mits);

    r1 = omp_get_wtime() - r1;

    printf("" elapsed time : %12.6f\n"", r1);
    printf("" MFlops       : %12.6g\n"",
           mits*0.000001*(m-2) / r1 *(n-2)*13 );

    error_check(n, m, alpha, dx, dy, u, f);
    
    
  return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; reads input from standard input; serves as the main entry point for program execution."
"#include <omp.h>
#include <math.h>
#include <stdio.h>
#include <stdlib.h>
double do_some_computation(int i)
{
	double t = 0.0;
	int j;
	for (j = 0; j < i*i; j++)
	{
		t += sin((double)j) * cos((double)j);
	}
	return t;
}","Function Name: do_some_computation
Parameters: int i
Description: This function returns a double and uses OpenMP for managing threads and parallel sections; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[])
{
	const int dimension = 500;
	int i;
	double result = 0.0;

	double t1 = omp_get_wtime();

	for (i = 0; i < dimension; i++)
	{
		result += do_some_computation(i);
	}

	double t2 = omp_get_wtime();
	printf(""Computation took %.3lf seconds.\n"", t2 - t1);
	printf(""Result is %.3lf.\n"", result);
	
	return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; serves as the main entry point for program execution."
"#include <omp.h>
#include <math.h>
#include <stdio.h>
#include <stdlib.h>
double do_some_computation(int i)
{
	double t = 0.0;
	int j;
	for (j = 0; j < i*i; j++)
	{
		t += sin((double)j) * cos((double)j);
	}
	return t;
}","Function Name: do_some_computation
Parameters: int i
Description: This function returns a double and uses OpenMP for managing threads and parallel sections; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[])
{
	const int dimension = 500;
	int i;
	double result = 0.0;

	double t1 = omp_get_wtime();

	#pragma omp parallel for schedule(dynamic) reduction(+:result)
	for (i = 0; i < dimension; i++)
	{
		result += do_some_computation(i);
	}

	double t2 = omp_get_wtime();
	printf(""Computation took %.3lf seconds.\n"", t2 - t1);
	printf(""Result is %.3lf.\n"", result);
	
	return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; serves as the main entry point for program execution."
"#include <omp.h>
#include <math.h>
#include <stdio.h>
#include <stdlib.h>
double func(int i)
{
	return sin((double)i) * cos((double)i);
}","Function Name: func
Parameters: int i
Description: This function returns a double and uses OpenMP for managing threads and parallel sections; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[])
{
	const int dimension = 9999999;
	int i;
	double dArray[dimension];
	double dMin = 0.0, dMax = 0.0;
	
	double t1 = omp_get_wtime();

	#pragma omp parallel
	{

		#pragma omp for
		for (i = 0; i < dimension; i++)
		{
			dArray[i] = func(i);
			// compute dMin = fmin(dMin, dArray[i])
			// compute dMax = fmax(dMax, dArray[i])
		}

	} // end omp parallel
	
	double t2 = omp_get_wtime();
	printf(""Computation took %.3lf seconds.\n"", t2 - t1);
	printf(""dMin is %.3lf.\n"", dMin);
	printf(""dMax is %.3lf.\n"", dMax);
	
	return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; serves as the main entry point for program execution."
"#include <omp.h>
#include <math.h>
#include <stdio.h>
#include <stdlib.h>
double func(int i)
{
	return sin((double)i) * cos((double)i);
}","Function Name: func
Parameters: int i
Description: This function returns a double and uses OpenMP for managing threads and parallel sections; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[])
{
	const int dimension = 9999999;
	int i;
	double dArray[dimension];
	double dMin = 0.0, dMax = 0.0;
	
	double t1 = omp_get_wtime();

	#pragma omp parallel
	{

		#pragma omp for reduction(min: dMin) reduction(max: dMax)
		for (i = 0; i < dimension; i++)
		{
			dArray[i] = func(i);
			dMin = fmin(dMin, dArray[i]);
			dMax = fmax(dMax, dArray[i]);
		}

	} // end omp parallel
	
	double t2 = omp_get_wtime();
	printf(""Computation took %.3lf seconds.\n"", t2 - t1);
	printf(""dMin is %.3lf.\n"", dMin);
	printf(""dMax is %.3lf.\n"", dMax);
	
	return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; serves as the main entry point for program execution."
"#include <stdio.h>
#include <omp.h>
int fib(int n)
{
  int x, y;
  if (n < 2)
    return n;

  x = fib(n - 1);

  y = fib(n - 2);

  return x+y;

}","Function Name: fib
Parameters: int n
Description: This function returns a int and uses OpenMP for managing threads and parallel sections."
"int main()
{
  int n,fibonacci;
  double starttime;
  printf(""Please insert n, to calculate fib(n): \n"");
  scanf(""%d"",&n);
  starttime=omp_get_wtime();

  fibonacci=fib(n);

  printf(""fib(%d)=%d \n"",n,fibonacci);
  printf(""calculation took %lf sec\n"",omp_get_wtime()-starttime);
  return 0;
}","Function Name: main
Parameters: None
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; reads input from standard input; serves as the main entry point for program execution."
"#include <stdio.h>
#include <omp.h>
int ser_fib(int n)
{
  int x, y;
  if (n < 2)
    return n;

  x = ser_fib(n - 1);

  y = ser_fib(n - 2);

  return x+y;
}","Function Name: ser_fib
Parameters: int n
Description: This function returns a int and uses OpenMP for managing threads and parallel sections."
"int fib(int n)
{
  int x, y;
  if (n < 2)
    return n;
  else if (n < 30)
    return ser_fib(n);

  #pragma omp task shared(x)
  {
    x = fib(n - 1);
  }

  #pragma omp task shared(y)
  {
    y = fib(n - 2);
  }

  #pragma omp taskwait

  return x+y;

}","Function Name: fib
Parameters: int n
Description: This function returns a int and uses OpenMP for managing threads and parallel sections."
"int main()
{
  int n,fibonacci;
  double starttime;
  printf(""Please insert n, to calculate fib(n): \n"");
  scanf(""%d"",&n);
  starttime=omp_get_wtime();

  #pragma omp parallel
  #pragma omp single
  {
    fibonacci=fib(n);
  }

  printf(""fib(%d)=%d \n"",n,fibonacci);
  printf(""calculation took %lf sec\n"",omp_get_wtime()-starttime);
  return 0;
}","Function Name: main
Parameters: None
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; reads input from standard input; performs mathematical computations using standard math functions; serves as the main entry point for program execution."
"#include <omp.h>
#include <math.h>
#include <stdio.h>
#include <stdlib.h>
double do_some_computation(int i)
{
	double t = 0.0;
	int j;
	for (j = 0; j < i*i; j++)
	{
		t += sin((double)j) * cos((double)j);
	}
	return t;
}","Function Name: do_some_computation
Parameters: int i
Description: This function returns a double and uses OpenMP for managing threads and parallel sections; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[])
{
	const int dimension = 500;
	int i;
	double result = 0.0;

	double t1 = omp_get_wtime();

	for (i = 0; i < dimension; i++)
	{
		result += do_some_computation(i);
	}

	double t2 = omp_get_wtime();
	printf(""Computation took %.3lf seconds.\n"", t2 - t1);
	printf(""Result is %.3lf.\n"", result);
	
	return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; serves as the main entry point for program execution."
"#include <omp.h>
#include <math.h>
#include <stdio.h>
#include <stdlib.h>
double do_some_computation(int i)
{
	double t = 0.0;
	int j;
	for (j = 0; j < i*i; j++)
	{
		t += sin((double)j) * cos((double)j);
	}
	return t;
}","Function Name: do_some_computation
Parameters: int i
Description: This function returns a double and uses OpenMP for managing threads and parallel sections; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[])
{
	const int dimension = 500;
	int i;
	double result = 0.0;

	double t1 = omp_get_wtime();

	#pragma omp parallel private(i)
	{

	#pragma omp single
	{

	#pragma omp taskgroup task_reduction(+:result)
	{
	for (i = 0; i < dimension; i++)
	{
		#pragma omp task in_reduction(+:result)
		{
			result += do_some_computation(i);
		} // end omp task
	}

	} // end omp single
	} // end omp taskgroup
	} // end omp parallel

	double t2 = omp_get_wtime();
	printf(""Computation took %.3lf seconds.\n"", t2 - t1);
	printf(""Result is %.3lf.\n"", result);
	
	return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; performs mathematical computations using standard math functions; serves as the main entry point for program execution."
"#include <omp.h>
#include <math.h>
#include <stdio.h>
#include <stdlib.h>
double do_some_computation(int i)
{
	double t = 0.0;
	int j;
	for (j = 0; j < i*i; j++)
	{
		t += sin((double)j) * cos((double)j);
	}
	return t;
}","Function Name: do_some_computation
Parameters: int i
Description: This function returns a double and uses OpenMP for managing threads and parallel sections; performs mathematical computations using standard math functions."
"int main(int argc, char* argv[])
{
	const int dimension = 500;
	int i;
	double result = 0.0;

	double t1 = omp_get_wtime();

	#pragma omp parallel
	{

	#pragma omp single
	{

#pragma omp taskloop reduction(+:result)
	for (i = 0; i < dimension; i++)
	{
		result += do_some_computation(i);
	}

	} // end omp single
	} // end omp parallel

	double t2 = omp_get_wtime();
	printf(""Computation took %.3lf seconds.\n"", t2 - t1);
	printf(""Result is %.3lf.\n"", result);
	
	return 0;
}","Function Name: main
Parameters: int argc, char* argv[]
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; performs mathematical computations using standard math functions; serves as the main entry point for program execution."
"void init(int* array,int length){
	srand((unsigned)time(0));
	for(int i=0;i<length;i++)
		array[i]=rand()%1234 + 1;
}","Function Name: init
Parameters: int* array, int length
Description: This function returns a void and executes a general set of operations."
"void swap(int &a, int &b){
	int temp=a;
	a=b;
	b=temp;
}","Function Name: swap
Parameters: int &a, int &b
Description: This function returns a void and executes a general set of operations."
"int pivot(int* array, int first, int last){
	int p = first;
	int pivotElement = array[first];
	for(int i=first+1;i<=last;i++){
		if(array[i]<=pivotElement){
			p++;
			swap(array[i],array[p]);
		}
	}
	swap(array[p],array[first]);
	return p;
}","Function Name: pivot
Parameters: int* array, int first, int last
Description: This function returns a int and estimates the value of Pi using numerical methods."
"void quicksort(int * array, int first, int last){
	int pivotElement;
	if(first<last){
		pivotElement = pivot(array,first,last);
		quicksort(array,first,pivotElement-1);
		quicksort(array,pivotElement+1,last);
	}
}","Function Name: quicksort
Parameters: int * array, int first, int last
Description: This function returns a void and estimates the value of Pi using numerical methods."
"int main(int argc, char *argv[]){
	int length;
	int *toBeSorted;
	double t1,t2;
	if(argc < 2){
		length=6000000;
	}else{
		length=atoi(argv[1]);
	}
	toBeSorted = new int[length];

	init(toBeSorted, length);
	cout << ""Sorting an array of "" << length << "" elements."" << endl;	

	t1=omp_get_wtime();
	quicksort(toBeSorted,0,length-1);
	t2=omp_get_wtime()-t1;

	cout << ""quicksort took "" << t2 << "" sec. to complete"" << endl;
	if (!checkFn(toBeSorted, length)) {
		cout << ""validation failed!"" << endl;
	}
	delete [] toBeSorted;
}","Function Name: main
Parameters: int argc, char *argv[]
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; serves as the main entry point for program execution."
"void init(int* array,int length){
	srand((unsigned)time(0));
	for(int i=0;i<length;i++)
		array[i]=rand()%1234 + 1;
}","Function Name: init
Parameters: int* array, int length
Description: This function returns a void and executes a general set of operations."
"void swap(int &a, int &b){
	int temp=a;
	a=b;
	b=temp;
}","Function Name: swap
Parameters: int &a, int &b
Description: This function returns a void and executes a general set of operations."
"int pivot(int* array, int first, int last){
	int p = first;
	int pivotElement = array[first];
	for(int i=first+1;i<=last;i++){
		if(array[i]<=pivotElement){
			p++;
			swap(array[i],array[p]);
		}
	}
	swap(array[p],array[first]);
	return p;
}","Function Name: pivot
Parameters: int* array, int first, int last
Description: This function returns a int and estimates the value of Pi using numerical methods."
"void serial_quicksort(int * array, int first, int last){
	int pivotElement;
	if(first<last){
		pivotElement = pivot(array,first,last);
		serial_quicksort(array,first,pivotElement-1);
		serial_quicksort(array,pivotElement+1,last);
	}
}","Function Name: serial_quicksort
Parameters: int * array, int first, int last
Description: This function returns a void and estimates the value of Pi using numerical methods."
"void quicksort(int * array, int first, int last){
	int pivotElement;
	if((last - first + 1) < 10000) {
		serial_quicksort(array, first, last);
	} else {
		pivotElement = pivot(array,first,last);
		#pragma omp task default(shared)
		{
			quicksort(array,first,pivotElement-1);
		}
		#pragma omp task default(shared)
		{
			quicksort(array,pivotElement+1,last);
		}
		#pragma omp taskwait
	}
}","Function Name: quicksort
Parameters: int * array, int first, int last
Description: This function returns a void and uses OpenMP for managing threads and parallel sections; estimates the value of Pi using numerical methods."
"int main(int argc, char *argv[]){
	int length;
	int *toBeSorted;
	double t1,t2;
	if(argc < 2){
		length=6000000;
	}else{
		length=atoi(argv[1]);
	}
	toBeSorted = new int[length];

	init(toBeSorted, length);
	cout << ""Sorting an array of "" << length << "" elements."" << endl;	

	t1=omp_get_wtime();
	#pragma omp parallel
	#pragma omp single
	{
		quicksort(toBeSorted,0,length-1);
	}
	t2=omp_get_wtime()-t1;

	cout << ""quicksort took "" << t2 << "" sec. to complete"" << endl;
	if (!checkFn(toBeSorted, length)) {
		cout << ""validation failed!"" << endl;
	}
	delete [] toBeSorted;
}","Function Name: main
Parameters: int argc, char *argv[]
Description: This function returns a int and performs parallel execution using OpenMP directives; performs mathematical computations using standard math functions; serves as the main entry point for program execution."
"double CalcPi(int n);
int main(int argc, char **argv)
{
    int n = 150000000;
    const double fPi25DT = 3.141592653589793238462643;
    double fPi;
    double fTimeStart, fTimeEnd;
    
#ifdef READ_INPUT  
    printf(""Enter the number of intervals: "");
    scanf(""%d"",&n);
#endif

    if (n <= 0 || n > 2147483647 ) 
    {
        printf(""\ngiven value has to be between 0 and 2147483647\n"");
        return 1;
    }
    fTimeStart = omp_get_wtime();

    /* the calculation is done here*/
    fPi = CalcPi(n);

    fTimeEnd = omp_get_wtime();
    printf(""\npi is approximately = %.20f \nError               = %.20f\n"",
           fPi, fabs(fPi - fPi25DT));
    printf(""  wall clock time     = %.20f\n"", fTimeEnd - fTimeStart);

    return 0;
}","Function Name: main
Parameters: int argc, char **argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; reads input from standard input; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"double f(double a)
{
    return (4.0 / (1.0 + a*a));
}","Function Name: f
Parameters: double a
Description: This function returns a double and executes a general set of operations."
"double CalcPi(int n)
{
    const double fH   = 1.0 / (double) n;
    double fSum = 0.0;
    double fX;
    int i;

    for (i = 0; i < n; i += 1)
    {
        fX = fH * ((double)i + 0.5);
        fSum += f(fX);
    }
    return fH * fSum;
}","Function Name: CalcPi
Parameters: int n
Description: This function returns a double and estimates the value of Pi using numerical methods."
"double CalcPi(int n);
int main(int argc, char **argv)
{
    int n = 150000000;
    const double fPi25DT = 3.141592653589793238462643;
    double fPi;
    double fTimeStart, fTimeEnd;
    
#ifdef READ_INPUT  
    printf(""Enter the number of intervals: "");
    scanf(""%d"",&n);
#endif

    if (n <= 0 || n > 2147483647 ) 
    {
        printf(""\ngiven value has to be between 0 and 2147483647\n"");
        return 1;
    }
    fTimeStart = omp_get_wtime();

    /* the calculation is done here*/
    fPi = CalcPi(n);

    fTimeEnd = omp_get_wtime();
    printf(""\npi is approximately = %.20f \nError               = %.20f\n"",
           fPi, fabs(fPi - fPi25DT));
    printf(""  wall clock time     = %.20f\n"", fTimeEnd - fTimeStart);

    return 0;
}","Function Name: main
Parameters: int argc, char **argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; reads input from standard input; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"double f(double a)
{
    return (4.0 / (1.0 + a*a));
}","Function Name: f
Parameters: double a
Description: This function returns a double and executes a general set of operations."
